instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed100_J10_M5,"[0.017122, 0.936778]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5495,3,3,0.0,0.1496997270245678,True,4672.4,1,-1,4672.4
Uniform1-5000_Seed100_J10_M5,"[0.017122, 0.936778]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5543,5,5,0.00071382522583,0.1570629622947862,True,4672.4,3,-1,4672.4
Uniform1-5000_Seed101_J10_M5,"[0.103523, 0.855792]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6454,2,2,0.0,0.1019832661915091,True,5795.8,0,-1,5795.8
Uniform1-5000_Seed101_J10_M5,"[0.103523, 0.855792]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6508,2,2,0.0,0.1094345421020282,True,5795.8,0,-1,5795.8
Uniform1-5000_Seed102_J10_M5,"[0.162528, 0.833752]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7070,-1,2,0.0,0.1558415841584158,True,5968.2,0,-1,5968.2
Uniform1-5000_Seed102_J10_M5,"[0.162528, 0.833752]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7070,-1,2,0.0,0.1558415841584158,True,5968.2,0,-1,5968.2
Uniform1-5000_Seed103_J10_M5,"[0.001901, 0.822100]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7198,-1,327,0.0284039974212646,0.1961100305640456,True,7198.0,5,-1,5786.4
Uniform1-5000_Seed103_J10_M5,"[0.001901, 0.822100]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7198,-1,7,0.0,0.1961100305640456,True,7198.0,5,-1,5786.4
Uniform1-5000_Seed104_J10_M5,"[0.018210, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,3844,-1,2,0.0,0.0,True,3844.0,0,2,3844.0
Uniform1-5000_Seed104_J10_M5,"[0.018210, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,3844,-1,2,0.0,0.0,True,3844.0,0,2,3844.0
Uniform1-5000_Seed105_J10_M5,"[0.014034, 0.896298]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6055,3,3,0.0,0.1291824938067712,True,5272.8,1,-1,5272.8
Uniform1-5000_Seed105_J10_M5,"[0.014034, 0.896298]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6055,4,4,0.0,0.1291824938067712,True,5272.8,2,-1,5272.8
Uniform1-5000_Seed106_J10_M5,"[0.052273, 0.819063]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6435,2,2,0.0,0.1378710178710178,True,5547.8,0,-1,5547.8
Uniform1-5000_Seed106_J10_M5,"[0.052273, 0.819063]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6435,6,6,0.0008196830749511,0.1378710178710178,True,5547.8,4,-1,5547.8
Uniform1-5000_Seed107_J10_M5,"[0.221920, 0.667660]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,8120,2,2,0.0004949569702148,0.1570443349753694,True,6844.8,0,-1,6844.8
Uniform1-5000_Seed107_J10_M5,"[0.221920, 0.667660]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,8187,-1,2,0.0,0.1639428362037376,True,6844.8,0,-1,6844.8
Uniform1-5000_Seed108_J10_M5,"[0.029361, 0.995656]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5640,3,3,0.0,0.1183333333333332,True,4972.6,1,-1,4972.6
Uniform1-5000_Seed108_J10_M5,"[0.029361, 0.995656]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5640,3,3,0.0,0.1183333333333332,True,4972.6,1,-1,4972.6
Uniform1-5000_Seed109_J10_M5,"[0.036655, 1.000000]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,3933,3,3,0.0,0.0150012712941774,True,3874.0,1,-1,3874.0
Uniform1-5000_Seed109_J10_M5,"[0.036655, 1.000000]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,3874,6,6,0.0009140968322753,0.0,True,3874.0,4,6,3874.0
Uniform1-5000_Seed110_J10_M5,"[0.251983, 0.880386]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5802,3,3,0.0,0.1135470527404343,True,5143.2,1,-1,5143.2
Uniform1-5000_Seed110_J10_M5,"[0.251983, 0.880386]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5802,3,3,0.0010373592376708,0.1135470527404343,True,5143.2,1,-1,5143.2
Uniform1-5000_Seed111_J10_M5,"[0.119838, 0.847127]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6826,4,4,0.0,0.1662760035159683,True,5691.0,2,-1,5691.0
Uniform1-5000_Seed111_J10_M5,"[0.119838, 0.847127]",5,10,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6782,6,6,0.0010352134704589,0.1608670008846947,True,5691.0,4,-1,5691.0
Uniform1-5000_Seed112_J10_M5,"[0.056414, 0.884461]",5,10,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4927,3,3,0.0,0.1617211284757459,True,4130.2,1,-1,4130.2
